,age,job,marital,education,default,housing,loan,contact,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,subscription,season
1012,27,0,2,3,0,1,0,1,0,137,2,999,0,1,1.1,93.994,-36.4,4.855,0,1
1013,35,4,1,6,0,1,0,0,4,400,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
1014,28,9,2,3,0,1,0,0,3,124,2,999,0,1,1.4,93.918,-42.7,4.961,0,2
1017,43,1,1,1,0,0,1,0,3,197,2,999,0,1,1.4,93.918,-42.7,4.961,0,2
1018,34,9,0,5,0,1,0,0,0,122,1,999,1,0,-1.8,93.075,-47.1,1.405,0,1
1020,48,0,0,3,0,1,0,0,1,309,1,999,0,1,-0.1,93.2,-42.0,4.191,0,0
1021,35,0,2,3,0,1,1,0,3,200,4,999,1,0,-1.8,92.893,-46.2,1.291,0,1
1022,27,0,2,6,0,0,0,0,1,409,1,1,1,2,-1.8,92.893,-46.2,1.299,0,1
1023,25,0,2,3,0,1,0,0,2,103,1,999,0,1,1.4,93.918,-42.7,4.963,0,2
1024,42,9,1,5,0,1,1,0,2,50,2,999,0,1,-1.8,92.893,-46.2,1.266,0,1
1025,47,0,0,6,0,1,0,1,1,208,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
1026,49,2,1,6,0,1,0,0,0,13,2,999,0,1,-0.1,93.2,-42.0,4.021,0,0
1027,36,0,2,2,0,1,0,0,3,458,1,999,0,1,-1.8,92.893,-46.2,1.291,1,1
1028,35,9,1,5,0,0,0,1,1,200,3,999,0,1,1.4,94.465,-41.8,4.865,0,2
1029,29,1,1,0,0,1,0,0,1,127,1,999,0,1,-0.1,93.2,-42.0,4.191,0,0
1031,53,1,1,1,0,1,0,1,0,95,1,999,0,1,1.1,93.994,-36.4,4.859,0,1
1032,41,0,1,6,0,0,1,0,1,114,3,999,0,1,1.4,93.444,-36.1,4.965,0,2
1034,31,4,1,2,0,0,1,1,4,161,2,999,0,1,1.1,93.994,-36.4,4.858,0,1
1035,46,7,1,3,0,0,0,0,4,174,3,999,0,1,-1.8,92.893,-46.2,1.334,0,1
1037,43,1,2,5,0,0,0,1,2,133,1,999,0,1,1.4,94.465,-41.8,4.866,0,2
1040,21,7,2,3,0,1,1,0,2,820,2,999,0,1,-1.8,93.075,-47.1,1.435,0,1
1042,54,4,1,1,0,0,0,1,4,255,3,999,0,1,1.4,94.465,-41.8,4.962,0,2
1044,31,10,1,6,0,0,0,0,3,91,1,999,0,1,1.4,93.444,-36.1,4.963,0,2
1045,50,0,1,6,0,0,0,0,3,587,2,999,1,0,-2.9,92.201,-31.4,0.859,1,2
1046,48,0,1,6,0,1,1,0,4,288,1,0,3,2,-1.7,94.027,-38.3,0.9,1,2
1047,26,6,2,6,0,1,0,0,4,181,2,999,0,1,-2.9,92.963,-40.8,1.244,0,2
1048,37,7,2,2,0,1,0,1,0,320,2,999,0,1,1.1,93.994,-36.4,4.859,0,1
1051,47,0,1,6,0,1,0,0,3,653,5,999,0,1,1.4,93.444,-36.1,4.965,0,2
1052,41,1,2,2,0,0,0,0,4,128,1,999,0,1,-1.8,92.893,-46.2,1.334,0,1
1053,32,1,2,2,0,1,0,1,1,22,17,999,0,1,1.4,94.465,-41.8,4.961,0,2
1054,38,7,1,2,0,0,1,1,0,177,2,999,0,1,-2.9,92.963,-40.8,1.224,0,2
1055,48,9,1,5,0,0,0,0,3,288,1,999,1,0,-1.7,94.215,-40.3,0.876,0,2
1059,38,0,1,6,0,1,0,0,3,748,2,999,0,1,1.4,93.444,-36.1,4.965,0,2
1061,27,0,1,3,0,1,1,0,1,101,3,999,0,1,1.4,93.918,-42.7,4.962,0,2
1062,28,7,1,3,0,1,0,0,4,223,3,999,2,0,-1.1,94.767,-50.8,1.048,0,0
1063,29,1,2,2,0,0,0,1,1,411,1,999,0,1,1.4,94.465,-41.8,4.961,0,2
1064,47,7,0,0,0,0,0,0,3,149,2,999,0,1,1.4,93.918,-42.7,4.961,0,2
1067,40,0,0,6,0,1,1,0,4,65,1,999,0,1,1.4,93.444,-36.1,4.967,0,2
1068,38,0,1,3,0,1,0,1,1,169,1,999,0,1,1.4,94.465,-41.8,4.865,0,2
1069,42,1,1,0,0,0,0,0,1,212,1,999,0,1,-1.8,92.893,-46.2,1.299,0,1
1070,30,10,2,6,0,1,1,0,4,266,3,999,0,1,1.4,93.918,-42.7,4.963,0,2
1072,33,0,2,3,0,0,1,1,4,113,1,999,0,1,1.4,94.465,-41.8,4.962,0,2
1073,47,4,1,6,0,0,0,0,1,51,3,999,0,1,-1.8,93.075,-47.1,1.405,0,1
1074,33,0,1,6,0,1,0,0,2,272,2,999,0,1,-1.1,94.199,-37.5,0.878,1,0
1075,30,7,2,2,0,1,0,0,4,22,3,999,0,1,1.4,93.918,-42.7,4.963,0,2
1076,54,0,1,3,0,0,0,1,4,66,2,999,0,1,1.1,93.994,-36.4,4.858,0,1
1077,47,0,1,2,0,0,0,0,2,164,1,999,0,1,-0.1,93.2,-42.0,4.076,0,0
1078,32,9,2,6,0,1,0,0,4,58,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
1079,32,1,1,2,0,1,0,0,0,297,2,999,0,1,-1.8,92.893,-46.2,1.313,0,1
1080,38,6,1,2,0,1,0,1,4,26,1,999,2,0,-1.8,92.893,-46.2,1.281,0,1
1081,38,9,2,3,0,0,0,0,4,74,2,999,0,1,1.4,93.444,-36.1,4.964,0,2
1083,53,1,1,3,0,1,0,0,3,118,7,999,0,1,1.4,93.918,-42.7,4.961,0,2
1084,26,10,2,2,0,1,0,1,3,112,3,999,0,1,1.1,93.994,-36.4,4.857,0,1
1086,38,0,2,6,0,0,0,0,3,103,1,999,0,1,-2.9,92.963,-40.8,1.099,0,2
1088,39,6,0,3,0,0,0,0,3,261,1,3,1,2,-3.4,92.379,-29.8,0.788,1,0
1089,48,0,0,3,0,0,0,1,1,352,2,999,0,1,1.4,93.918,-42.7,4.96,0,2
1090,32,1,1,1,0,1,0,1,0,16,6,999,0,1,1.4,94.465,-41.8,4.959,0,2
1091,35,1,1,1,0,0,0,1,4,39,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
1093,35,0,2,6,0,1,0,0,1,8,5,999,0,1,-1.8,92.893,-46.2,1.299,0,1
1095,28,0,2,6,0,0,1,0,0,94,2,999,0,1,1.4,93.918,-42.7,4.963,0,2
1096,52,4,1,3,0,1,1,0,3,167,1,10,4,0,-2.9,92.201,-31.4,0.883,1,2
1097,35,1,1,2,0,0,0,1,3,497,2,999,0,1,1.4,94.465,-41.8,4.864,0,2
1098,27,0,2,6,0,0,0,0,3,134,1,3,1,2,-1.8,92.893,-46.2,1.266,0,1
1099,34,9,1,3,0,0,0,0,2,481,1,999,0,1,1.4,93.918,-42.7,4.963,0,2
1100,36,1,1,0,0,0,1,0,4,217,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
1102,32,0,1,6,0,1,1,1,1,175,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
1104,55,0,1,2,0,1,1,0,2,430,2,999,0,1,-0.1,93.2,-42.0,4.076,0,0
1105,50,9,1,3,0,1,0,0,1,229,1,999,1,0,-3.0,92.713,-33.0,0.717,1,3
1106,37,0,2,6,0,0,0,0,4,51,4,999,0,1,-1.8,92.893,-46.2,1.334,0,1
1109,32,2,1,6,0,0,0,0,1,95,5,999,0,1,1.4,93.444,-36.1,4.965,0,2
1111,35,9,2,5,0,1,0,0,1,213,4,999,0,1,-1.8,92.893,-46.2,1.244,0,1
1113,47,1,1,5,0,1,0,0,3,225,4,999,1,0,-1.8,93.075,-47.1,1.423,0,1
1114,29,1,2,2,0,0,0,0,4,68,1,999,0,1,-1.8,92.893,-46.2,1.281,0,1
1115,37,2,2,2,0,1,0,0,3,222,1,2,1,2,-1.8,92.893,-46.2,1.266,0,1
1116,32,9,2,3,0,0,0,1,4,239,11,999,0,1,1.4,93.918,-42.7,4.963,0,2
1117,46,7,1,3,0,1,0,0,1,181,2,999,0,1,1.4,93.918,-42.7,4.96,0,2
1118,36,7,1,3,0,0,1,1,4,166,5,999,0,1,1.1,93.994,-36.4,4.859,0,1
1119,35,0,1,6,0,0,0,0,2,121,4,999,0,1,-2.9,92.963,-40.8,1.26,1,2
1120,31,6,1,6,0,1,0,0,3,242,2,999,0,1,1.4,93.918,-42.7,4.962,0,2
1121,29,0,2,6,0,0,0,0,1,716,2,999,0,1,1.4,93.444,-36.1,4.965,1,2
1124,29,9,2,2,0,0,0,0,2,20,1,999,0,1,-1.8,92.893,-46.2,1.266,0,1
1125,31,4,2,6,0,1,0,0,2,165,2,999,0,1,-1.8,92.893,-46.2,1.266,0,1
1126,34,1,1,0,0,1,0,0,2,54,1,999,0,1,1.4,93.918,-42.7,4.958,0,2
1127,29,9,2,5,0,1,1,0,0,215,1,999,0,1,-0.1,93.2,-42.0,4.021,0,0
1128,46,0,2,6,0,1,1,0,3,62,7,999,0,1,1.4,93.918,-42.7,4.961,0,2
1129,29,1,0,3,0,0,0,0,0,760,1,999,0,1,-1.8,92.893,-46.2,1.25,1,1
1130,54,1,2,0,0,0,0,1,2,253,3,999,0,1,1.1,93.994,-36.4,4.86,0,1
1131,26,4,2,6,0,1,0,0,1,112,5,999,0,1,-1.1,94.767,-50.8,1.039,0,0
1132,27,0,1,5,0,1,0,0,2,143,1,999,0,1,-1.8,92.893,-46.2,1.266,0,1
1134,32,9,2,6,0,1,0,0,4,158,5,999,0,1,1.4,93.444,-36.1,4.965,0,2
1135,35,7,1,3,0,1,0,1,3,87,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1137,59,5,1,2,0,0,0,0,1,551,4,999,0,1,1.4,93.918,-42.7,4.962,0,2
1138,29,1,1,2,0,1,0,0,2,193,1,999,0,1,-1.8,92.893,-46.2,1.327,0,1
1139,37,0,1,3,0,0,1,1,2,155,1,999,0,1,1.1,93.994,-36.4,4.86,0,1
1141,55,0,1,5,0,1,1,0,3,482,1,999,0,1,1.4,93.444,-36.1,4.968,0,2
1143,36,0,2,3,0,0,0,0,0,193,3,999,0,1,-1.8,93.075,-47.1,1.405,0,1
1144,59,0,1,3,0,0,0,1,1,204,4,999,0,1,1.4,94.465,-41.8,4.96,0,2
1145,34,1,2,2,0,0,0,0,2,484,3,999,0,1,-1.8,92.893,-46.2,1.266,0,1
1146,30,6,1,5,0,0,0,0,3,34,2,999,1,0,-1.8,92.893,-46.2,1.291,0,1
1147,29,0,1,3,0,0,0,0,2,48,7,999,0,1,1.4,93.918,-42.7,4.958,0,2
1148,34,1,2,2,0,0,0,0,1,281,2,999,1,0,-1.8,92.893,-46.2,1.299,0,1
1150,41,2,1,0,0,1,0,1,0,89,2,999,0,1,1.4,93.918,-42.7,4.959,0,2
1151,30,0,2,6,0,1,0,0,4,107,1,999,0,1,-2.9,92.963,-40.8,1.26,0,2
1155,59,5,1,0,0,1,1,0,2,265,1,999,0,1,1.4,93.444,-36.1,4.964,0,2
1156,29,7,1,2,0,1,0,1,4,94,3,999,0,1,1.1,93.994,-36.4,4.857,0,1
1157,36,0,1,3,0,0,0,1,3,369,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1160,39,2,1,5,0,1,0,0,2,997,2,999,0,1,-0.1,93.2,-42.0,4.076,0,0
1161,48,7,1,1,0,0,0,0,4,69,6,999,0,1,1.4,93.918,-42.7,4.963,0,2
1162,56,0,1,6,0,1,0,0,0,177,5,999,0,1,1.4,93.918,-42.7,4.957,0,2
1167,32,0,1,6,0,1,1,0,2,51,1,999,0,1,-0.1,93.2,-42.0,4.076,0,0
1168,28,1,2,2,0,0,0,0,1,218,1,999,0,1,-1.8,93.075,-47.1,1.392,0,1
1169,26,1,1,5,0,1,0,0,2,649,2,999,0,1,-1.8,92.893,-46.2,1.266,0,1
1173,29,1,2,0,0,1,0,0,0,13,9,999,1,0,-1.8,92.893,-46.2,1.25,0,1
1174,56,4,1,6,0,0,0,0,3,442,2,999,0,1,1.4,93.918,-42.7,4.961,0,2
1175,36,1,2,2,0,1,1,1,2,762,3,999,0,1,1.4,94.465,-41.8,4.955,1,2
1179,41,7,1,2,0,0,0,1,3,335,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1182,38,0,2,6,0,0,0,1,3,189,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
1183,34,4,2,3,0,1,1,0,4,201,2,6,1,2,-0.1,93.2,-42.0,4.12,0,0
1184,34,1,1,2,0,0,0,0,3,192,3,999,0,1,-1.8,92.893,-46.2,1.291,0,1
1186,31,6,1,6,0,0,0,0,3,201,2,999,0,1,1.4,93.444,-36.1,4.966,0,2
1187,43,9,1,5,0,1,0,1,3,225,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
1190,56,10,1,5,0,0,0,0,0,1551,1,999,2,0,-3.4,92.379,-29.8,0.762,0,0
1193,42,1,1,2,0,0,0,1,4,92,5,999,0,1,1.1,93.994,-36.4,4.857,0,1
1194,29,0,1,6,0,1,0,0,1,209,2,999,0,1,1.4,93.444,-36.1,4.965,0,2
1197,31,2,0,3,0,1,0,1,3,168,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
1198,34,4,1,3,0,1,0,0,4,228,3,999,0,1,-0.1,93.2,-42.0,4.12,0,0
1199,33,1,1,0,0,1,0,1,0,78,7,999,0,1,1.4,94.465,-41.8,4.959,0,2
1200,23,3,2,0,0,0,1,0,2,9,6,999,0,1,-1.8,92.893,-46.2,1.266,0,1
1202,55,4,1,6,0,0,0,0,1,106,6,999,0,1,1.4,93.444,-36.1,4.965,0,2
1203,47,7,0,0,0,1,0,1,0,60,6,999,0,1,1.4,94.465,-41.8,4.959,0,2
1207,49,2,1,6,0,1,0,1,0,142,2,999,0,1,1.1,93.994,-36.4,4.864,0,1
1209,47,0,0,3,0,0,0,0,1,480,1,999,0,1,1.4,93.918,-42.7,4.96,0,2
1210,30,1,2,2,0,0,0,1,4,207,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
1211,27,1,2,2,0,0,1,1,2,869,2,999,0,1,1.4,94.465,-41.8,4.866,0,2
1212,36,0,2,3,0,0,0,0,3,259,1,999,0,1,1.4,93.918,-42.7,4.961,0,2
1213,46,7,0,3,0,0,0,0,1,222,3,999,0,1,-1.8,92.893,-46.2,1.299,0,1
1214,30,2,0,1,0,0,1,0,2,149,1,999,1,0,-1.8,92.893,-46.2,1.327,0,1
1215,88,5,0,0,0,1,1,0,4,82,2,999,0,1,-1.8,92.843,-50.0,1.663,0,1
1217,30,0,1,6,0,1,1,0,2,82,6,999,0,1,-1.8,93.075,-47.1,1.483,0,1
1218,43,9,2,2,0,1,0,1,0,461,2,999,0,1,1.4,94.465,-41.8,4.967,0,2
1222,30,9,2,6,0,1,1,0,4,63,1,999,0,1,1.4,93.918,-42.7,4.962,0,2
1226,49,10,1,3,0,1,0,1,1,96,1,999,0,1,-1.8,92.893,-46.2,1.354,0,1
1227,30,0,1,6,0,1,0,0,0,129,2,999,1,0,-1.8,92.893,-46.2,1.313,0,1
1228,39,0,1,6,0,0,0,1,3,979,9,999,0,1,1.4,94.465,-41.8,4.961,0,2
1229,32,9,2,6,0,1,0,1,2,119,2,999,0,1,1.4,93.918,-42.7,4.962,0,2
1232,49,9,1,5,0,1,0,0,0,354,1,999,0,1,1.4,93.918,-42.7,4.957,0,2
1234,39,9,1,3,0,1,0,0,3,451,4,3,1,2,-1.8,92.893,-46.2,1.291,0,1
1236,51,7,1,2,0,1,0,1,0,250,3,999,0,1,1.4,94.465,-41.8,4.959,0,2
1238,59,9,0,2,0,1,0,0,4,142,1,999,0,1,1.4,93.918,-42.7,4.963,0,2
1239,46,0,0,6,0,1,0,1,3,304,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
1241,28,4,2,6,0,0,0,1,2,651,5,999,0,1,1.4,94.465,-41.8,4.958,1,2
1242,31,0,1,6,0,1,0,1,2,102,4,999,0,1,1.1,93.994,-36.4,4.86,0,1
1243,26,7,2,3,0,1,0,1,3,188,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1245,50,2,1,6,0,1,0,0,2,57,3,999,0,1,-0.1,93.2,-42.0,4.076,0,0
1246,41,10,1,2,0,1,0,0,1,263,1,999,0,1,-1.8,93.075,-47.1,1.466,0,1
1247,50,6,1,5,0,0,0,0,2,73,7,999,0,1,1.4,93.918,-42.7,4.968,0,2
1248,32,1,2,3,0,0,1,0,4,204,3,999,0,1,-1.8,92.893,-46.2,1.281,0,1
1249,56,6,1,6,0,0,0,0,1,83,3,999,1,0,-1.8,93.075,-47.1,1.405,0,1
1250,42,0,1,3,0,1,0,0,3,111,1,999,0,1,-1.8,92.893,-46.2,1.344,0,1
1252,36,0,2,6,0,0,0,1,1,12,5,999,0,1,-1.8,92.893,-46.2,1.244,0,1
1253,45,1,1,1,0,1,0,1,1,134,8,999,0,1,1.4,94.465,-41.8,4.865,0,2
1255,55,9,1,6,0,0,0,1,3,126,1,999,0,1,1.4,94.465,-41.8,4.961,0,2
1256,38,6,2,6,0,0,0,1,2,238,1,999,0,1,1.1,93.994,-36.4,4.855,0,1
1257,71,5,1,0,0,1,1,0,3,120,1,6,1,2,-3.4,92.431,-26.9,0.728,0,0
1258,22,7,2,0,0,0,0,1,4,91,1,999,0,1,1.1,93.994,-36.4,4.858,0,1
1259,30,0,2,6,0,0,0,0,0,331,2,999,0,1,-0.1,93.2,-42.0,4.021,1,0
1260,78,5,1,3,0,1,0,0,1,754,2,3,2,0,-1.8,92.893,-46.2,1.264,0,1
1261,30,0,0,6,0,1,0,0,4,589,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
1262,51,1,1,1,0,1,0,0,4,89,2,999,0,1,-1.8,93.075,-47.1,1.372,0,1
1265,34,7,1,3,0,0,0,1,0,9,14,999,0,1,1.4,94.465,-41.8,4.959,0,2
1266,49,4,1,6,0,1,0,0,2,87,1,999,0,1,1.4,93.444,-36.1,4.968,0,2
1267,50,1,0,0,0,0,0,0,2,150,5,999,0,1,1.4,93.918,-42.7,4.962,0,2
1268,51,2,1,6,0,0,0,1,4,98,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1269,57,5,1,6,0,1,0,0,4,187,1,999,1,0,-2.9,92.201,-31.4,0.834,0,2
1270,33,0,0,6,0,1,0,0,1,76,2,999,0,1,-0.1,93.2,-42.0,4.191,0,0
1271,35,0,1,6,0,0,0,1,4,41,3,999,0,1,1.1,93.994,-36.4,4.856,0,1
1272,37,0,2,3,0,0,0,0,2,609,2,7,3,2,-1.7,94.215,-40.3,0.782,1,2
1273,39,0,2,6,0,1,0,0,4,514,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
1274,39,7,1,3,0,0,0,1,3,919,2,999,0,1,1.1,93.994,-36.4,4.856,0,1
1275,20,8,2,3,0,0,0,0,4,187,2,999,0,1,-3.4,92.649,-30.1,0.715,0,0
1277,27,8,2,5,0,0,0,1,2,72,1,999,0,1,-0.1,93.2,-42.0,4.245,0,0
1278,33,0,1,3,0,0,0,0,0,595,2,999,0,1,1.4,93.918,-42.7,4.957,0,2
1280,39,4,1,6,0,0,0,0,1,168,1,999,0,1,1.4,93.444,-36.1,4.965,0,2
1281,55,1,1,2,0,1,1,0,2,142,3,999,0,1,1.4,93.444,-36.1,4.963,0,2
1284,42,6,1,3,0,0,0,1,3,83,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1285,50,6,0,6,0,0,0,0,2,59,4,999,0,1,-0.1,93.2,-42.0,4.076,0,0
1286,39,4,1,6,0,1,0,0,0,53,1,999,0,1,-1.8,92.893,-46.2,1.313,0,1
1287,40,7,2,3,0,0,0,0,4,197,1,999,0,1,-1.8,92.893,-46.2,1.334,0,1
1290,54,9,1,3,0,0,0,0,1,58,3,999,2,0,-1.8,93.075,-47.1,1.405,0,1
1292,33,9,0,5,0,1,1,0,1,679,1,999,0,1,1.4,93.444,-36.1,4.97,0,2
1293,26,0,2,0,0,1,1,1,3,68,6,999,0,1,1.4,94.465,-41.8,4.961,0,2
1294,27,4,1,6,0,0,0,0,1,54,1,999,0,1,-1.8,93.075,-47.1,1.392,0,1
1295,30,9,2,3,0,1,0,0,2,230,1,999,0,1,1.4,93.444,-36.1,4.963,0,2
1299,29,4,2,6,0,1,0,0,3,139,2,999,0,1,1.4,93.444,-36.1,4.963,0,2
1301,35,7,2,2,0,0,0,0,0,102,5,999,0,1,1.4,93.918,-42.7,4.962,0,2
1303,38,0,1,6,0,1,0,0,3,19,11,999,0,1,1.4,93.444,-36.1,4.965,0,2
1304,29,1,1,1,0,0,1,1,4,168,3,999,0,1,1.1,93.994,-36.4,4.859,0,1
1305,32,0,1,3,0,1,1,1,1,24,1,999,2,0,-1.8,93.075,-47.1,1.405,0,1
1307,36,1,1,3,0,1,0,0,2,234,1,999,0,1,-0.2,92.756,-45.9,3.329,0,3
1308,51,4,1,6,0,0,0,1,4,16,17,999,0,1,1.4,94.465,-41.8,4.962,0,2
1309,34,1,1,0,0,0,1,1,2,23,1,999,0,1,1.1,93.994,-36.4,4.86,0,1
1310,50,9,1,6,0,1,1,0,4,1353,2,999,0,1,-3.4,92.379,-29.8,0.749,0,0
1312,53,4,1,6,0,0,0,0,2,88,4,999,0,1,1.4,93.444,-36.1,4.962,0,2
1313,52,1,1,3,0,0,0,0,3,57,1,999,0,1,-1.8,92.893,-46.2,1.344,0,1
1314,71,5,1,3,0,0,0,0,1,363,1,999,0,1,-1.1,94.199,-37.5,0.879,1,0
1315,52,5,1,6,0,1,1,1,1,215,3,999,0,1,-0.1,93.2,-42.0,4.191,0,0
1316,53,9,1,5,0,0,0,1,3,332,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1317,36,0,2,6,0,1,0,0,2,287,2,999,0,1,-0.1,93.2,-42.0,4.076,0,0
1318,43,0,1,3,0,1,0,1,2,67,1,999,0,1,1.1,93.994,-36.4,4.855,0,1
1319,31,9,2,5,0,0,0,0,1,122,2,999,0,1,1.4,93.444,-36.1,4.965,0,2
1320,58,0,2,6,0,0,0,1,1,1234,3,999,0,1,1.1,93.994,-36.4,4.857,1,1
1321,46,9,1,6,0,0,0,0,2,124,3,999,0,1,1.4,93.918,-42.7,4.968,0,2
1323,34,0,1,6,0,0,0,0,4,329,1,999,0,1,-1.8,92.893,-46.2,1.281,0,1
1325,40,6,2,6,0,0,1,0,4,54,4,999,0,1,-2.9,92.963,-40.8,1.244,0,2
1326,42,1,0,3,0,0,0,1,3,256,1,999,0,1,1.4,94.465,-41.8,4.961,0,2
1327,40,9,2,3,0,0,0,0,0,85,1,999,0,1,1.4,93.444,-36.1,4.964,0,2
1328,27,10,1,3,0,1,0,1,0,23,13,999,0,1,1.4,94.465,-41.8,4.959,0,2
1331,46,0,0,6,0,1,1,0,4,184,2,999,1,0,-0.1,93.2,-42.0,4.12,0,0
1332,47,0,1,6,0,1,1,0,4,129,3,999,2,0,-1.7,94.215,-40.3,0.896,0,2
1334,32,2,1,3,0,1,0,1,1,314,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
1336,58,7,1,3,0,0,0,0,0,155,5,999,0,1,1.4,93.444,-36.1,4.964,0,2
1337,30,0,1,6,0,1,0,0,2,123,1,999,0,1,1.4,93.444,-36.1,4.964,0,2
1340,32,0,1,6,0,1,0,0,4,428,4,999,0,1,1.4,93.444,-36.1,4.964,0,2
1341,32,7,1,3,0,0,0,1,3,181,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
1342,29,4,2,6,0,1,1,1,1,207,3,999,0,1,1.1,93.994,-36.4,4.857,0,1
1343,43,4,0,3,0,1,0,0,1,488,2,999,0,1,-0.1,93.2,-42.0,4.191,0,0
1344,41,7,0,2,0,1,0,1,4,189,3,999,0,1,1.1,93.994,-36.4,4.857,0,1
1345,30,0,1,6,0,1,0,1,0,355,2,999,0,1,1.1,93.994,-36.4,4.859,0,1
1347,35,0,2,3,0,1,0,0,3,106,1,999,0,1,-0.1,93.2,-42.0,4.153,0,0
1348,44,1,1,1,0,1,0,1,2,10,1,999,0,1,-1.1,94.199,-37.5,0.884,0,0
1351,32,10,1,5,0,1,0,1,3,486,1,999,0,1,-0.1,93.2,-42.0,4.343,1,0
1352,26,8,2,3,0,0,0,0,3,235,1,999,1,0,-1.7,94.215,-40.3,0.893,0,2
1353,35,0,2,6,0,1,0,0,1,167,2,999,0,1,1.4,93.918,-42.7,4.96,0,2
1354,34,1,1,2,0,0,0,1,1,206,1,999,0,1,1.4,94.465,-41.8,4.96,0,2
1355,57,4,0,6,0,1,0,1,4,236,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1357,33,0,2,3,0,1,0,0,1,61,2,6,2,0,-3.4,92.431,-26.9,0.731,0,0
1358,32,0,1,3,0,0,0,0,0,219,2,999,0,1,-0.1,93.2,-42.0,4.021,0,0
1360,34,1,2,1,0,0,0,0,1,204,2,999,0,1,-1.8,92.893,-46.2,1.299,0,1
1361,36,0,2,3,0,1,0,0,0,413,2,999,0,1,-1.8,93.075,-47.1,1.405,0,1
1362,28,9,2,5,0,1,0,0,1,77,1,999,1,0,-1.8,92.893,-46.2,1.299,0,1
1363,72,5,0,6,0,0,0,0,3,270,1,999,0,1,-2.9,92.201,-31.4,0.884,0,2
1364,27,7,2,2,0,1,1,0,3,88,6,999,0,1,1.4,93.918,-42.7,4.961,0,2
1365,43,0,0,3,0,1,1,0,2,892,2,999,0,1,-1.8,92.893,-46.2,1.327,0,1
1366,39,2,2,6,0,1,0,0,0,452,1,999,0,1,-1.8,92.893,-46.2,1.25,0,1
1367,27,0,2,6,0,0,0,0,3,238,4,999,0,1,-1.8,93.369,-34.8,0.635,1,1
1368,35,0,2,6,0,1,0,0,3,614,1,999,0,1,-1.8,92.893,-46.2,1.344,0,1
1369,34,9,1,5,0,0,0,0,1,123,1,999,0,1,-2.9,92.201,-31.4,0.861,0,2
1371,39,9,1,3,0,0,0,0,0,749,2,999,0,1,-0.1,93.2,-42.0,4.021,1,0
1372,35,4,0,3,0,1,0,1,0,176,4,999,0,1,1.4,94.465,-41.8,4.959,0,2
1373,56,5,1,0,0,0,0,0,3,130,3,999,0,1,-0.1,93.2,-42.0,4.153,0,0
1374,31,0,2,6,0,1,0,0,4,1327,2,999,0,1,1.4,93.918,-42.7,4.963,1,2
1375,31,7,2,3,0,1,0,0,3,28,1,999,0,1,-1.8,92.893,-46.2,1.344,0,1
1376,45,0,2,6,0,0,0,0,0,27,3,999,0,1,-0.1,93.2,-42.0,4.021,0,0
1378,42,1,0,2,0,0,0,0,1,111,3,999,0,1,1.4,93.918,-42.7,4.96,0,2
1379,39,0,1,6,0,0,0,0,0,272,1,999,0,1,-1.8,92.893,-46.2,1.25,0,1
1381,50,7,1,3,0,1,0,0,1,54,15,999,0,1,1.4,93.444,-36.1,4.965,0,2
1382,29,0,2,6,0,0,0,1,3,641,6,999,0,1,1.4,94.465,-41.8,4.961,0,2
1384,34,2,1,0,0,1,0,1,4,474,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
1385,36,0,1,6,0,0,0,0,1,61,6,999,0,1,1.4,93.918,-42.7,4.96,0,2
1386,35,0,2,6,0,0,0,1,1,234,13,999,0,1,1.1,93.994,-36.4,4.858,0,1
1388,42,0,2,6,0,1,0,1,0,87,1,999,0,1,1.1,93.994,-36.4,4.864,0,1
1389,39,9,1,5,0,1,0,0,1,247,1,4,1,2,-2.9,92.201,-31.4,0.884,0,2
1391,52,0,1,3,0,0,0,1,4,643,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
1392,47,0,0,6,0,1,0,1,0,2653,3,999,0,1,1.4,94.465,-41.8,4.967,1,2
1393,59,4,1,6,0,0,0,0,2,112,4,999,1,0,-3.0,92.713,-33.0,0.7,0,3
